GRB,T90,comments,RA,Dec,z,X,O,R,refs
70306,210,IR but no optical detection; very large host extinction. Very luminous host.,52:23.3,+10:28:55.26,1.49594,y,y,n,1
60418,52,Bright UV/optical/IR afterglow. Very rapid spectroscopy; variable absorption lines.,45:42.6,-03:38:20.0,1.49,y,y,,12
120724A,72.8,,20:43.3,+03:30:27.8,1.48,y,y,,
10222,,Very bright burst. Slowly-decaying afterglow: energy reinjection?,52:12.6,+43:01:06.2,1.478,y,y,y,20
141121A,549.9,Very long. Long-lived and slow-decaying optical/X-ray afterglow.,10:40.6,+22:13:01.8,1.47,y,y,y,1
110213A,48,"Bright, long-lived afterglow; extensive early optical follow-up. Possible XRT jet break.",51:51.4,+49:16:23.3,1.46,y,y,,
141221A,36.9,Bright early afterglow.,13:08.8,+08:12:18.9,1.452,y,y,,2
90407,310,Very dark burst.,35:55.1,-12:40:45.2,1.4485,y,,,
180314A,51.2,Bright UV/optical afterglow; well-observed.,37:03.7,-24:29:45.8,1.445,,,,
50318,32,UVOT photo-z may indicate possible higher redshift (z~2.7),18:51.2,-46:23:43.70,1.4436,y,y,,2
100814A,174.5,Prominent optical rebrightening/plateau.,29:53.6,-17:59:43.6,1.44,y,y,y,5
50822,102,,24:27.2,-46:02:00.0,1.434,y,,,1
151029A,8.95,Early spectroscopy.,34:06.7,-35:23:08.6,1.423,y,y,,
80604,82,Faint afterglow. High-z candidate but spectroscopically not high-z.,47:51.7,+20:33:28.1,1.4171,y,y,n,
140301A,31,Faint optical counterpart; strong host emission lines.,38:13.8,-34:15:23.5,1.416,y,y,,
180205A,15.5,Bright burst; very bright afterglow. Extensive observations.,27:16.7,+11:32:30.9,1.409,y,y,,
100901A,439,Very long burst; dramatic optical rebrightening; bright and sustained late-time afterglow.,49:03.4,+22:45:30.8,1.408,y,y,,4
160625B,460,Very bright Fermi-LAT burst. Optical flash detection. Possibly highest-ever E_iso.,34:23.5,+06:55:8.1,1.406,y,y,y,9
120711A,44,"INTEGRAL/MAXI/Fermi/LAT burst with possible extended X-ray emission. Very bright OT, possible reverse shock.",18:42.8,-70:59:56.78,1.405,y,y,,3
80602,74,Minimal ground follow-up. ERO near error circle.,16:42.1,-09:13:56.6,1.4?,y,n,,
100615A,39,"Early, deep NIR limit (dark). Likely very dust-extinguished.",48:49.3,-19:28:51.8,1.398,y,,,3
150423A,0.22,Short GRB with optical afterglow. Redshift uncertain.,46:18.9,+12:17:00.7,1.394?,y,y,n,
141005A,4.34,Very faint afterglow and bright host in early observations.,24:22.4,+36:05:42.26,1.39?,y,y,,
111229A,25.4,Far south.,05:08.9,-84:42:39.1,1.3805,y,y,,
50801,20,Detected in UV filters. Early optical plateau.,36:35.0,-21:55:41.00,1.38,y,y,,4
90927,2.2,Short/intermediate burst at z=1.37. Hostless?,55:53.4,-70:58:49.3,1.37,y,y,,
100414A,26.4,LAT-detected.,48:27.0,+08:41:34.91,1.368,y,y,y,2
150910A,112.2,Moderately bright optical afterglow with extensive follow-up.,22:40.1,+33:28:21.9,1.359,y,y,,
110808A,48,Bright emission lines.,49:04.3,-44:11:40.3,1.348,y,y,,
71117,6.6,Bright burst. Very faint afterglow. Emission line in afterglow very ambiguous.,20:10.4,-63:26:35.5,1.331?,y,y,,
170604A,26.7,Moderately bright OT.,50:37.5,-15:24:44.4,1.329,y,y,,
140801A,7,Fermi burst with MASTER afterglow.,56:16.5,+30:56:17.0,1.32,,y,,1
141220A,7.21,Early GTC spectroscopy/photometry.,00:15.8,+32:08:46:4,1.3195,y,y,,
61121,81,Very bright GRB with precursor. Swift 'Burst of Interest'.,48:54.6,-13:11:42.72,1.3145,y,y,y,3
990506,150,Extremely bright GRB; deep limits on optical afterglow. Spectral evolution.,54:50.1,-26:40:35.2,1.307,y,,y,1
130511A,5.43,,06:35.0,+18:42:36.0,1.3033,y,y,,
130420A,123.5,Soft burst. Bright optical/IR counterpart.,04:25.6,+59:25:26.7,1.297,y,y,,
131030A,41.1,Bright GRB. Polarimetric observations of afteglow.,00:16.1,-05:22:05.1,1.293,y,y,,2
50126,26,Faint IR afterglow; host galaxy detection.,32:27.2,+42:22:13.6,1.29,y,y,,1
100724A,1.4,Short/intermediate?,58:10.4,-11:06:09,1.288,y,y,,
90530,48,Detected in all UVOT filters. Bright late afterglow.,57:40.5,+26:35:38.6,1.266,y,y,,
61007,75,Extremely bright burst with extremely bright afterglow (R~10). Unbroken decay.,05:19.6,-50:30:02.5,1.2622,y,y,n,5
020813A,88.98,"Long, bright burst. Early break; smooth light curve.",46:41.9,-19:36:04.81,1.2545,y,y,y,15
130528A,59.4,Dark GRB near north celestial pole. Unobscured host.,18:01.5,+87:18:03.7,1.25,y,,,1
090926B,81,"MAXI detection. Faint afterglow, blended with underlying host.",05:13.9,-39:00:22.2,1.24,y,y,,1
130907A,115.1,Bright burst. Red afterglow. Early radio detection. Underlying SDSS galaxy.,23:34.0,+45:36:27.4,1.238,y,y,y,2
50408,34,"Afterglow with strong titanium absorption lines, bright emission features..",02:17.3,+10:51:09.40,1.2356,y,y,,4
80707,27.1,Faint afterglow,10:28.4,+33:06:34.3,1.2322,y,y,,
130418A,300,Ultra-long? Bright afterglow.,56:08.9,+13:40:02.8,1.218,y,y,n,
140907A,79.2,GRB with extensive follow-up.,12:35.0,+46:36:17.5,1.21,y,y,,
140213A,60,Long-lived OT.,00:37.1,-73:08:13.5,1.2076,y,y,,
100316B,3.8,,53:57.2,-45:28:21.6,1.18,y,y,,
60319,12,"Dark burst, or possible very red burst.",45:32.9,+60:00:39.1,1.172,y,y,,
160509A,371,Very bright LAT/GBM burst. Very reddened afterglow. High-energy photon.,47:00.9,+76:06:29.2,1.17,y,y,y,5
151031A,5,Rapid-response VLT spectroscopy. Bright host.,32:47.1,-39:07:19.1,1.167,y,y,,
70208,48,Host emission lines visible.,11:32.6,+61:57:54.37,1.165,y,y,,
70518,5.5,Faint burst. OT detected by all Swift filters; bright host candidate. XRT flares.,56:47.7,+55:17:42.3,1.16?,y,y,n,1
61126,191,Bright GRB with abundant early data. Flat optical SED despite apparent supression.,46:24.5,+64:12:38.46,1.159,y,y,n,2
161108A,105.1,Luminous host.,03:09.1,+24:52:04.9,1.159,y,y,n,
130701A,4.38,,48:55.1,+36:06:01.4,1.155,y,y,,
71122,68.7,Faint afterglow.,26:25.3,+47:04:30.1,1.14,y,y,y,
60801,0.5,Short burst. OT unconfirmed; XRT offset. Possible host at z=1.131.,12:01.3,+16:58:53.9,1.131?,y,,,
418,30,Red afterglow due to extinction; luminous starburst host. Jet break.,25:19.3,+20:06:11.6,1.11854,,y,y,6
981226,260,Several OT candidates do not fade. Faint radio afterglow.,29:37.2,-23:55:53.8,1.11,y,?,y,4
